Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Mayur Datar,1069,1069,https://www.semanticscholar.org/author/Mayur-Datar/1703747,19,23,6001,,,https://www.scopus.com/authid/detail.uri?authorId=7003516539,,Flipkart,Bengaluru,,,"Data mining, Algorithms, Databases, Computer science theory"
Rajeev Rastogi,1058,1056,https://www.semanticscholar.org/author/Rajeev-Rastogi/1696519,42,149,8602,33,67,https://www.scopus.com/authid/detail.uri?authorId=7202417523,https://scholar.google.com/citations?user=3ggE9SkAAAAJ,Amazon,Bengaluru,23373,6036,"Machine Learning, Distributed Systems, Algorithms"
Prateek Jain,881,860,https://www.semanticscholar.org/author/Prateek-Jain/3164102,24,77,3324,34,40,https://www.scopus.com/authid/detail.uri?authorId=35344727500,https://scholar.google.com/citations?user=qYhRbJoAAAAJ&hl=en,"Microsoft Research, Bangalore",Bengaluru,7722,6020,Machine Learning
Soumen Chakrabarti,849,836,https://www.semanticscholar.org/author/Soumen-Chakrabarti/2197703,65,454,19340,30,52,https://www.scopus.com/authid/detail.uri?authorId=35227027300,https://scholar.google.com/citations?user=LfF2zfQAAAAJ&hl=en,IIT Bombay,Mumbai,17960,4226,Web search Web mining Social Networks Machine Learning
Manik Varma,790,766,https://www.semanticscholar.org/author/Manik-Varma/32463160,22,29,4041,22,23,https://www.scopus.com/authid/detail.uri?authorId=24823171100,https://scholar.google.co.in/citations?user=slkxxyIAAAAJ&hl=en,"Microsoft Research India, IIT Delhi.",New Delhi,6685,3666,Machine Learning Computer Vision Computational advertising
Narasimha Murty,661,658,https://www.semanticscholar.org/author/M.-Narasimha-Murty/1750539,1,2,15,16,27,https://www.scopus.com/authid/detail.uri?authorId=6602186112,https://scholar.google.com/citations?user=VQZTmpcAAAAJ&hl=en,IISc Bangalore,Bengaluru,19374,6780,Pattern Recognition Data Mining Machine Learning information retrieval topic models
Swagatam Das,658,657,https://www.semanticscholar.org/author/Swagatam-Das/1747655,47,379,11153,48,60,https://www.scopus.com/authid/detail.uri?authorId=24729258600,https://scholar.google.com/citations?hl=en&user=L8XYpAwAAAAJ&view_op=list_works&sortby=pubdate,Indian Statistical Institute,Kolkata,16027,11236,Artificial intelligence Evolutionary Algorithm Differential Evolution Swarm Intelligence Machine Learning
Nikhil R. Pal,608,678,https://www.semanticscholar.org/author/Nikhil-R.-Pal/1708545,45,218,11218,36,55,https://www.scopus.com/authid/detail.uri?authorId=35561327100,https://scholar.google.com/citations?user=IGIvYfAAAAAJ&hl=en,Indian Statistical Institute,Kolkata,20894,7763,"Pattern Recognition, Machine learning, Fuzzy Logic, Neural networks, Image Processing"
Sunita Sarawagi,595,586,https://www.semanticscholar.org/author/Sunita-Sarawagi/1770124,25,58,3439,26,44,https://www.scopus.com/authid/detail.uri?authorId=55968663300,https://scholar.google.com/citations?user=Hg4HmTAAAAAJ&hl=en,IIT Bombay,Mumbai,11463,3322,"databases, data mining, machine learning and statistics"
Sankar Kumar Pal,587,574,https://www.semanticscholar.org/author/Sankar-K.-Pal/1736103,49,320,11708,43,78,https://www.scopus.com/authid/detail.uri?authorId=7402277726,https://scholar.google.co.in/citations?user=V-pTYdUAAAAJ,Indian Statistical Institute,Kolkata,32047,9269,Soft Computing Image Processing Data Mining Pattern Recognition Machine Intelligence
Sanghamitra Bandyopadhyay,584,566,https://www.semanticscholar.org/author/Sanghamitra-Bandyopadhyay/1684232,40,207,7849,38,51,https://www.scopus.com/authid/detail.uri?authorId=7402057893,https://scholar.google.com/citations?hl=en&user=mHrEBuUAAAAJ&view_op=list_works&sortby=pubdate,Indian Statistical Institute,Kolkata,14170,7085,Computational BiologyEvolutionary ComputationPattern Recognition Data Mining
Raghu Krishnapuram,550,572,https://www.semanticscholar.org/author/Raghu-Krishnapuram/1769461,34,111,6503,21,47,https://www.scopus.com/authid/detail.uri?authorId=35562479300,https://scholar.google.co.in/citations?user=OftxRCEAAAAJ&hl=en,IISc,Bengaluru,12232,2598,Artificial intelligence Autonomous Robots
Mausam,516,510,https://www.semanticscholar.org/author/Mausam/2674444,19,58,2075,29,33,https://www.scopus.com/authid/detail.uri?authorId=55963402300,https://scholar.google.com/citations?user=5y4YmFcAAAAJ&hl=en,IIT Delhi,New Delhi,5805,4306,Artificial intelligence Planning under Uncertainty Information Extraction Human Computation
Anirban Dasgupta,482,415,https://www.semanticscholar.org/author/Anirban-Dasgupta/1709101,16,81,952,8,8,https://www.scopus.com/authid/detail.uri?authorId=35584686500,https://scholar.google.com/citations?user=jDcw2nMAAAAJ&hl=en,IIT Kharagpur,Gandhinagar,154,145,Signal and Image Processing Machine Learning Computer Vision Embedded Systems
Yegnanarayana Bayya,434,424,https://www.semanticscholar.org/author/Bayya-Yegnanarayana/1741065,1,3,27,32,53,https://www.scopus.com/authid/detail.uri?authorId=55735340200,https://scholar.google.com/citations?user=e9YThaYAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,11859,4918,Speech image Signal processing artificial neural networks
C. V. Jawahar,372,362,https://www.semanticscholar.org/author/C.-V.-Jawahar/1694502,27,282,2927,30,39,https://www.scopus.com/authid/detail.uri?authorId=6701503911,https://scholar.google.com/citations?user=U9dH-DoAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,6261,4135,Computer Vision
Chiranjib Bhattacharyya,355,351,https://www.semanticscholar.org/author/Chiranjib-Bhattacharyya/4084728,18,92,2930,19,24,https://www.scopus.com/authid/detail.uri?authorId=6701703652,https://scholar.google.co.in/citations?user=SbYoEmQAAAAJ&hl=en,IISc Bangalore,Bengaluru,5368,2210,Machine Learning
Umapada Pal,341,340,https://www.semanticscholar.org/author/Umapada-Pal/1740569,31,300,3980,32,45,https://www.scopus.com/authid/detail.uri?authorId=57200742116,https://scholar.google.com/citations?user=2_z_CogAAAAJ&hl=en,Indian Statistical Institute,Kolkata,8440,4699,OCR Document Analysis
Bidyut Baran Chaudhuri,331,328,https://www.semanticscholar.org/author/Bidyut-Baran-Chaudhuri/1759420,36,269,5997,33,52,https://www.scopus.com/authid/detail.uri?authorId=7101623219,https://scholar.google.com/citations?user=LYNgDQ8AAAAJ&hl=en,Indian Statistical Institute,Kolkata,12025,4439,Computer Vision Pattern Recognition Digital Document Processing OCR Natural Language Processing
