web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1557098429-19","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","As Saudi Arabia keeps spending, a history of IP theft, Trump's aggressive stance, and newly empowered CFIUS are decimating China's US tech startup investments (@teddyschleifer / Vox)

http://www.vox.com/recode/2019/5/1/18511540/silicon-valley-foreign-money-china-saudi-arabia-cfius-firrma-geopolitics-venture-capital …http://www.techmeme.com/190501/p24#a190501p24 …","","3","1","1556729176000","10:16 PM - 1 May 2019","/Techmeme/status/1123629720904581120"
"1557098429-114","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Dell updates its Latitude commercial laptops with Express Sign-in, which uses proximity sensors to sign in users instantly, and ExpressCharge for batteries (@deantak / VentureBeat)

http://venturebeat.com/2019/04/30/dell-launches-commercial-laptops-with-fast-sign-in-and-connection-features/ …http://www.techmeme.com/190430/p68#a190430p68 …","1","","2","1556680264000","8:41 AM - 1 May 2019","/Techmeme/status/1123424570822791170"
"1557098429-63","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Qualcomm reports Q2 revenue of $4.98B, down 4.6% YoY, profit of $663M, up from $330M YoY, but lackluster Q3 guidance due to weak demand for smartphones in China (@ianmking / Bloomberg)

http://www.bloomberg.com/news/articles/2019-05-01/qualcomm-forecast-shows-benefit-of-legal-settlement-with-apple …http://www.techmeme.com/190501/p37#a190501p37 …","","2","1","1556745376000","2:46 AM - 2 May 2019","/Techmeme/status/1123697671120801794"
"1557098429-74","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Who are the most influential writers on topics like AI, VR, IoT, enterprise, security, or e-commerce?  We've analyzed Techmeme's news crawl data to find out! https://techmeme.com/lb","1","3","9","1556851989000","8:23 AM - 3 May 2019","/Techmeme/status/1124144838390243328"
"1557098429-32","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Spotify spotted testing ""Your Daily Drive,"" a personalized playlist featuring short podcast episodes mixed in with curated music, to positive initial reactions (@sarahintampa / TechCrunch)

http://techcrunch.com/2019/05/02/spotify-spotted-testing-your-daily-drive-a-personalized-playlist-that-includes-podcasts/ …http://www.techmeme.com/190502/p28#a190502p28 …","1","8","26","1556847374000","7:06 AM - 3 May 2019","/Techmeme/status/1124125481060786176"
"1557098429-29","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Dark web marketplace Wall Street Market, whose admins exit-scammed users of $14.2M+ in cryptocurrency, seized by German police and other international agencies (@campuscodi / ZDNet)

http://www.zdnet.com/article/law-enforcement-seizes-dark-web-market-after-moderator-leaks-backend-credentials/ …http://www.techmeme.com/190502/p26#a190502p26 …","","6","6","1556840783000","5:16 AM - 3 May 2019","/Techmeme/status/1124097835702661120"
"1557098429-21","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Sources: FTC commissioners remain divided along the party lines on whether to hold Mark Zuckerberg personally liable for Facebook's future privacy violations (@ceciliakang / New York Times)

http://www.nytimes.com/2019/05/04/technology/federal-trade-commission-facebook-mark-zuckerberg.html …http://www.techmeme.com/190504/p5#a190504p5 …","1","8","6","1556995280000","12:11 AM - 5 May 2019","/Techmeme/status/1124745843075166208"
"1557098429-9","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Vulnerability in Dell's pre-installed SupportAssist utility exposes Dell computers to remote hijacks if attacker can get on the same network with unpatched PC (@campuscodi / ZDNet)

http://www.zdnet.com/article/dell-laptops-and-computers-vulnerable-to-remote-hijacks/ …http://www.techmeme.com/190503/p14#a190503p14 …","","10","6","1556915188000","1:56 AM - 4 May 2019","/Techmeme/status/1124409913822842880"
"1557098429-85","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Facebook says it will allow patients to post sensitive health-related info anonymously by letting Facebook Group admins post questions on a patient's behalf (@chrissyfarr / CNBC)

http://www.cnbc.com/2019/04/30/facebook-adds-health-support-groups-with-anonymous-posting.html …http://www.techmeme.com/190430/p60#a190430p60 …","3","10","14","1556669171000","5:36 AM - 1 May 2019","/Techmeme/status/1123378041550512128"
"1557098429-72","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Sources: Andreessen Horowitz has closed on two new funds, a $750M early-stage fund and a $2B later-stage fund, putting its total fundraising haul at nearly $10B (@danprimack / Axios)

http://www.axios.com/scoop-andreessen-horowitz-closes-on-two-new-funds-642e3dff-e988-4e7b-8389-43fd8623fc77.html …http://www.techmeme.com/190501/p16#a190501p16 …","1","2","11","1556718672000","7:21 PM - 1 May 2019","/Techmeme/status/1123585664153526272"
"1557098429-93","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Slack and other workplace messaging services undermine their goal of increased productivity by becoming distractions, where users are constantly chatting (@ranimolla / Vox)

http://www.vox.com/recode/2019/5/1/18511575/productivity-slack-google-microsoft-facebook …http://www.techmeme.com/190501/p22#a190501p22 …","5","4","18","1556725273000","9:11 PM - 1 May 2019","/Techmeme/status/1123613350489939968"
"1557098429-31","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Xiaomi says it has shipped 27.5M+ smartphones in Q1 2019 (@yanzideng_iris / South China Morning Post)

http://www.scmp.com/tech/gear/article/3008673/xiaomi-says-it-shipped-275-million-smartphones-first-quarter-move-aimed …http://www.techmeme.com/190503/p9#a190503p9 …","","1","1","1556901379000","10:06 PM - 3 May 2019","/Techmeme/status/1124351992548270080"
"1557098429-2","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","In its Q2 earnings release, Qualcomm says its settlement with Apple will yield $4.5B-$4.7B in revenue for the next quarter (Axios)

http://www.axios.com/qualcomm-records-4b-revenue-from-apple-settlement-08057a66-3951-49dd-909f-dbf5e9724f4d.html …http://www.techmeme.com/190501/p35#a190501p35 …","","5","5","1556742323000","1:55 AM - 2 May 2019","/Techmeme/status/1123684866082656256"
"1557098429-116","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","null","null","null","null","null","null","null","null","null"
"1557098429-42","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Facebook is taking the same self-assured approach to safety that it has with products, but it is strange to see the company be so proud of cleaning its own mess (@kantrowitz / BuzzFeed News)

http://www.buzzfeednews.com/article/alexkantrowitz/for-facebook-safety-updates-are-the-new-product-release …http://www.techmeme.com/190503/p20#a190503p20 …","","2","3","1556939500000","8:41 AM - 4 May 2019","/Techmeme/status/1124511885007753216"
"1557098429-43","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","ACLU says info uncovered through its lawsuit show CBP and ICE have ""near-unfettered"" authority to search and seize travelers' electronic devices at the border (@hhandeyside / ACLU)

http://www.aclu.org/blog/privacy-technology/privacy-borders-and-checkpoints/we-got-us-border-officials-testify-under …http://www.techmeme.com/190501/p8#a190501p8 …","","4","6","1556709972000","4:56 PM - 1 May 2019","/Techmeme/status/1123549174530703362"
"1557098429-13","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","A profile of Lemonade, a millenial-friendly discount insurance startup, which has raised $480M in five rounds, the last one at a $2B+ valuation, says source (Forbes)

http://www.forbes.com/sites/jeffkauflin/2019/05/02/lemonade-fintech-insurance-unicorn/ …http://www.techmeme.com/190504/p1#a190504p1 …","","6","15","1556950279000","11:41 AM - 4 May 2019","/Techmeme/status/1124557096073220096"
"1557098429-97","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Who's hiring in tech?
@automattic @Snap
@asana @billcom
@thekonginc @Stash
…and more! http://techmeme.com/gtj","","","5","1556828353000","1:49 AM - 3 May 2019","/Techmeme/status/1124045701753769984"
"1557098429-52","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Sources: Facebook told FTC it's ready for more privacy oversight like quarterly privacy safeguards reports approved by CEO, review of new products before launch (@tonyromm / Washington Post)

http://www.washingtonpost.com/technology/2019/05/03/facebook-has-told-federal-investigators-its-open-heightened-oversight-its-privacy-practices/ …http://www.techmeme.com/190503/p5#a190503p5 …","","2","3","1556891785000","7:26 PM - 3 May 2019","/Techmeme/status/1124311752349560832"
"1557098429-56","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","In an experiment, the NYT bought and displayed ads targeting 16 profile attributes to reveal what advertisers think they know about users seeing targeted ads (@stuartathompson / New York Times)

http://www.nytimes.com/interactive/2019/04/30/opinion/privacy-targeted-advertising.html …http://www.techmeme.com/190501/p10#a190501p10 …","","4","4","1556712673000","5:41 PM - 1 May 2019","/Techmeme/status/1123560504813858816"
"1557098429-69","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Facebook launches two new open source AI tools: BoTorch, based on PyTorch, for Bayesian library optimization and Ax, a platform for managing AI experiments (@fredericl / TechCrunch)

http://techcrunch.com/2019/05/01/facebook-open-sources-ax-and-botorch-to-simplify-ai-model-optimization/ …http://www.techmeme.com/190501/p27#a190501p27 …","","1","3","1556732285000","11:08 PM - 1 May 2019","/Techmeme/status/1123642761700433921"
"1557098429-15","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","YouGov and Cambridge poll of 25,000+ people in 23 countries finds that UK citizens trust social media platforms less than any other nation surveyed (@alexhern / The Guardian)

http://www.theguardian.com/world/2019/may/03/britons-less-trusting-of-social-media-than-other-major-nations-facebook-twitter …http://www.techmeme.com/190504/p4#a190504p4 …","","8","3","1556990181000","10:46 PM - 4 May 2019","/Techmeme/status/1124724457401200641"
"1557098429-28","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Bitfinex is trying to raise $1B via initial exchange offering of LEO tokens to provide liquidity as it seeks access to $850M it says were frozen by governments (@celiawan2 / The Block)

http://www.theblockcrypto.com/2019/05/04/bitfinex-issues-ieo-white-paper-tokens-will-be-bought-back-after-850-million-funds-unfrozen/ …http://www.techmeme.com/190504/p3#a190504p3 …","","","5","1556983280000","8:51 PM - 4 May 2019","/Techmeme/status/1124695513020891140"
"1557098429-76","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","Pluralsight, an IT training and certification platform, will acquire GitPrime, an analytics and productivity tool for developer teams, for $170M (@grg / TechCrunch)

http://techcrunch.com/2019/05/01/pluralsight-will-acquire-gitprime-for-170m/ …http://www.techmeme.com/190502/p13#a190502p13 …","","1","1","1556814083000","9:51 PM - 2 May 2019","/Techmeme/status/1123985847341191168"
"1557098429-62","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","The Strong National Museum of Play announces Microsoft's Solitaire, first introduced with Windows 3.0 in 1990, will be inducted into the Video Game Hall of Fame (@deantak / VentureBeat)

http://venturebeat.com/2019/05/02/world-video-game-hall-of-fame-inducts-super-mario-kart-mortal-kombat-solitaire-and-colossal-cave-adventure/ …http://www.techmeme.com/190502/p25#a190502p25 …","","3","4","1556839880000","5:01 AM - 3 May 2019","/Techmeme/status/1124094050527739905"
"1557098429-36","https://twitter.com/search?l=&q=from%3Atechmeme%20since%3A2019-05-01%20until%3A2019-05-05&src=typd&lang=en","@Techmeme","Techmeme","VideoAmp, which focuses on optimizing cross-platform advertising and whose clients include CBS, AMC, and A+E, raises $70M Series C led by Raine Group (@xpangler / Variety)

http://variety.com/2019/digital/news/videoamp-70-million-funding-raine-group-1203199123/ …http://www.techmeme.com/190501/p34#a190501p34 …","","5","1","1556742077000","1:51 AM - 2 May 2019","/Techmeme/status/1123683832836894721"
